date,Ayam_Tua
2024-08-29,7.6
2024-08-30,0.5
2024-08-31,7.8999999999999995
2024-09-01,1.6
2024-09-02,6.7
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,8.0
2024-09-07,2.8
2024-09-08,0.0
2024-09-09,5.9
2024-09-10,0.0
2024-09-11,2.5
2024-09-12,2.5
2024-09-13,9.0
2024-09-14,0.0
2024-09-15,0.0
2024-09-16,0.0
2024-09-17,6.8
2024-09-18,11.6
2024-09-19,0.0
2024-09-20,10.9
2024-09-21,10.9
2024-09-22,0.0
2024-09-23,5.0
2024-09-24,2.8
2024-09-25,4.7
2024-09-26,9.1
2024-09-27,0.0
2024-09-28,0.0
2024-09-29,6.8
2024-09-30,7.1
2024-10-01,1.4
2024-10-02,3.7
2024-10-03,0.0
2024-10-04,2.9
2024-10-05,9.4
2024-10-06,7.5
2024-10-07,5.6
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.7
2024-10-11,3.5
2024-10-12,3.2
2024-10-13,4.6
2024-10-14,0.0
2024-10-15,4.1
2024-10-16,1.2
2024-10-17,5.699999999999999
2024-10-18,7.7
2024-10-19,0.0
2024-10-20,3.7
2024-10-21,4.199999999999999
2024-10-22,10.4
2024-10-23,0.0
2024-10-24,8.4
2024-10-25,3.0
2024-10-26,2.3
2024-10-27,2.8
2024-10-28,12.8
2024-10-29,10.0
2024-10-30,6.6
2024-10-31,5.8
2024-11-01,6.2
2024-11-02,2.7
2024-11-03,5.5
2024-11-04,0.0
2024-11-05,1.5
2024-11-06,5.6
2024-11-07,8.600000000000001
2024-11-08,9.3
2024-11-09,0.6
2024-11-10,7.6
2024-11-11,5.0
2024-11-12,0.5
2024-11-13,3.5
2024-11-14,10.5
2024-11-15,0.0
2024-11-16,6.7
2024-11-17,3.9
2024-11-18,3.6
2024-11-19,1.4
2024-11-20,2.5
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,6.199999999999999
2024-11-24,1.6
2024-11-25,8.9
2024-11-26,3.1
2024-11-27,9.6
2024-11-28,3.1
2024-11-29,9.9
2024-11-30,6.4
2024-12-01,2.6
2024-12-02,9.7
2024-12-03,4.0
2024-12-04,0.0
2024-12-05,3.7
2024-12-06,4.800000000000001
2024-12-07,2.3
2024-12-08,12.3
2024-12-09,4.0
2024-12-10,6.7
2024-12-11,13.899999999999999
2024-12-12,8.5
2024-12-13,7.1
2024-12-14,3.0
2024-12-15,9.9
2024-12-16,3.0
2024-12-17,9.899999999999999
2024-12-18,8.8
2024-12-19,2.2
2024-12-20,3.1999999999999997
2024-12-21,0.0
2024-12-22,6.9
2024-12-23,7.1
2024-12-24,4.9
2024-12-25,8.600000000000001
2024-12-26,2.0
2024-12-27,8.7
2024-12-28,10.0
2024-12-29,12.7
2024-12-30,12.7
2024-12-31,0.0
