date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T),dow,is_weekend,is_closed,close_reason,is_event,pre_event_peak,restock_flag
2024-05-03,20.56,8.2,3.12,4,0,0,,0,0,0
2024-05-04,22.4,9.14,3.8,5,1,0,,0,0,0
2024-05-05,23.2,10.11,3.6,6,1,0,,0,0,0
2024-05-06,29.2,10.82,3.57,0,0,0,,0,0,0
2024-05-07,26.4,9.47,3.66,1,0,0,,0,0,0
2024-05-08,31.12,14.26,3.51,2,0,0,,0,0,0
2024-05-09,25.2,8.99,3.94,3,0,0,,0,0,0
2024-05-10,22.4,7.95,3.49,4,0,0,,0,0,0
2024-05-11,28.56,7.64,2.79,5,1,0,,0,0,0
2024-05-12,23.52,12.44,19.88,6,1,0,,0,0,0
2024-05-13,26.4,12.14,4.07,0,0,0,,0,0,0
2024-05-14,24.88,10.54,4.64,1,0,0,,0,0,0
2024-05-15,27.68,10.25,2.99,2,0,0,,0,0,0
2024-05-16,24.24,5.36,3.49,3,0,0,,0,0,0
2024-05-17,21.12,7.39,3.57,4,0,0,,0,0,0
2024-05-18,22.32,10.68,3.8,5,1,0,,0,0,0
2024-05-19,22.48,8.2,3.7,6,1,0,,0,0,0
2024-05-20,27.12,13.74,4.01,0,0,0,,0,0,0
2024-05-21,24.48,9.61,3.66,1,0,0,,0,0,0
2024-05-22,21.92,9.54,3.46,2,0,0,,0,0,0
2024-05-23,26.8,11.0,3.46,3,0,0,,0,0,0
2024-05-24,28.0,8.07,3.03,4,0,0,,0,0,0
2024-05-25,21.6,10.72,3.2,5,1,0,,0,0,0
2024-05-26,23.2,10.68,3.6,6,1,0,,0,0,0
2024-05-27,22.24,11.1,3.6,0,0,0,,0,0,0
2024-05-28,21.36,9.0,3.77,1,0,0,,0,0,0
2024-05-29,22.56,9.47,3.06,2,0,0,,0,0,0
2024-05-30,25.12,11.91,3.57,3,0,0,,0,0,0
2024-05-31,27.92,13.12,3.97,4,0,0,,0,0,0
2024-06-01,21.2,6.76,3.51,5,1,0,,0,0,0
2024-06-02,21.28,8.26,3.31,6,1,0,,0,0,0
2024-06-03,25.2,13.49,3.54,0,0,0,,0,0,0
2024-06-04,24.8,6.61,3.12,1,0,0,,0,0,0
2024-06-05,85.79,7.38,3.46,2,0,0,,0,1,1
2024-06-06,27.04,8.2,3.57,3,0,0,,0,0,0
2024-06-07,22.56,8.59,3.8,4,0,0,,0,0,0
2024-06-08,22.08,7.45,3.6,5,1,0,,0,0,0
2024-06-09,27.2,10.18,3.77,6,1,0,,0,0,0
2024-06-10,28.4,8.26,3.6,0,0,0,,0,0,0
2024-06-11,22.48,7.95,3.14,1,0,0,,0,0,0
2024-06-12,21.6,8.4,3.26,2,0,0,,0,0,0
2024-06-13,23.12,7.52,3.49,3,0,0,,0,0,0
2024-06-14,26.08,10.75,3.23,4,0,0,,0,0,0
2024-06-15,22.96,6.93,3.14,5,1,0,,0,0,0
2024-06-16,27.52,7.83,3.31,6,1,0,,0,0,0
2024-06-17,0.0,0.0,0.0,0,0,1,Idul Adha,1,0,0
2024-06-18,24.88,11.0,4.56,1,0,0,,0,0,0
2024-06-19,25.52,8.4,3.17,2,0,0,,0,0,0
2024-06-20,27.12,9.07,3.46,3,0,0,,0,0,0
2024-06-21,28.16,7.45,3.51,4,0,0,,0,0,0
2024-06-22,22.0,10.18,3.34,5,1,0,,0,0,0
2024-06-23,21.84,9.54,3.4,6,1,0,,0,0,0
2024-06-24,27.04,6.11,3.37,0,0,0,,0,0,0
2024-06-25,26.4,12.04,3.66,1,0,0,,0,0,0
2024-06-26,25.84,10.11,3.49,2,0,0,,0,0,0
2024-06-27,26.4,8.53,3.54,3,0,0,,0,0,0
2024-06-28,27.12,10.39,3.47,4,0,0,,0,0,0
2024-06-29,23.04,9.14,3.37,5,1,0,,0,0,0
2024-06-30,23.2,10.82,3.43,6,1,0,,0,0,0
2024-07-01,27.92,9.68,3.29,0,0,0,,0,0,0
2024-07-02,28.72,11.82,3.26,1,0,0,,0,0,0
2024-07-03,27.28,10.18,3.31,2,0,0,,0,0,0
2024-07-04,22.64,8.46,3.43,3,0,0,,0,0,0
2024-07-05,21.44,10.46,3.37,4,0,0,,0,0,0
2024-07-06,20.72,10.25,3.43,5,1,0,,0,0,0
2024-07-07,23.04,12.74,3.29,6,1,0,,0,0,0
2024-07-08,22.48,9.89,3.31,0,0,0,,0,0,0
2024-07-09,23.52,9.21,3.34,1,0,0,,0,0,0
2024-07-10,23.76,10.39,3.46,2,0,0,,0,0,0
2024-07-11,23.84,8.73,3.26,3,0,0,,0,0,0
2024-07-12,24.16,11.1,3.2,4,0,0,,0,0,0
2024-07-13,23.76,10.46,3.46,5,1,0,,0,0,0
2024-07-14,24.08,8.93,3.2,6,1,0,,0,0,0
2024-07-15,0.0,0.0,0.0,0,0,1,Sakit,0,0,0
2024-07-16,0.0,0.0,0.0,1,0,1,Sakit,0,0,0
2024-07-17,25.84,11.0,3.29,2,0,0,,0,0,0
2024-07-18,24.32,10.25,3.37,3,0,0,,0,0,0
2024-07-19,24.32,9.68,3.14,4,0,0,,0,0,0
2024-07-20,22.24,13.74,3.26,5,1,0,,0,0,0
2024-07-21,21.52,9.34,3.51,6,1,0,,0,0,0
2024-07-22,25.04,12.8,3.46,0,0,0,,0,0,0
2024-07-23,24.08,11.17,3.63,1,0,0,,0,0,0
2024-07-24,25.36,9.47,3.4,2,0,0,,0,0,0
2024-07-25,27.44,10.89,3.49,3,0,0,,0,0,0
2024-07-26,24.08,7.64,3.37,4,0,0,,0,0,0
2024-07-27,27.36,9.14,3.37,5,1,0,,0,0,0
2024-07-28,23.84,11.24,3.2,6,1,0,,0,0,0
2024-07-29,26.08,10.32,3.26,0,0,0,,0,0,0
2024-07-30,23.92,12.01,3.49,1,0,0,,0,0,0
2024-07-31,26.08,8.53,3.31,2,0,0,,0,0,0
2024-08-01,22.88,11.64,3.31,3,0,0,,0,0,0
