date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T)
6/22/2024,36.4,13.47,8.21
6/23/2024,20.74,14.51,9.54
6/24/2024,36.06,11.43,8.47
6/25/2024,8.81,24.27,5.56
6/26/2024,37.53,16.48,0
6/27/2024,53.59,17.4,2.52
6/28/2024,45.37,14,0
6/29/2024,12.71,3.35,9.71
6/30/2024,41.15,8.97,19.39
7/1/2024,23.9,11,2.6
7/2/2024,14,8.5,9.7
7/3/2024,16.6,21.5,6.8
7/4/2024,18,5.7,4.2
7/5/2024,22,0,3.3
7/6/2024,15.9,2.1,4.8
7/7/2024,28.4,6.9,2
7/8/2024,17.2,10.6,12.8
7/9/2024,25.8,3.5,1.8
7/10/2024,13.2,5.9,11.8
7/11/2024,13.9,6.8,0
7/12/2024,5.5,11.6,6.6
7/13/2024,17.2,3.1,12.2
7/14/2024,18.8,14.4,0
7/15/2024,0,0,0
7/16/2024,0,0,0
7/17/2024,18.4,16.6,9.8
7/18/2024,19.1,15,4.8
7/19/2024,22.5,2.7,8.3
7/20/2024,5.4,7.8,4.3
7/21/2024,17.1,6.7,0
7/22/2024,36.3,6.7,9.6
7/23/2024,17.5,3.9,2.4
7/24/2024,17.5,9.2,9.2
7/25/2024,19.8,6.6,4.8
7/26/2024,24.9,0,6.9
7/27/2024,33.6,3.6,0
7/28/2024,14,5.3,0.8
7/29/2024,20.3,9.7,2.1
7/30/2024,25.8,4.7,0
7/31/2024,26.7,6,3.7
8/1/2024,6.3,15.8,7.3
8/2/2024,20.3,18.1,0
8/3/2024,19.6,4.4,4
8/4/2024,14.4,13.2,4.1
8/5/2024,20.9,8.2,6.9
8/6/2024,23.8,0,5.7
8/7/2024,26.1,4.8,4.8
8/8/2024,10.7,8.9,7.3
8/9/2024,27,0,8.7
8/10/2024,22,19.5,0
8/11/2024,20.3,8,0
8/12/2024,7.6,11.6,0.5
8/13/2024,9.6,9.3,6
8/14/2024,21.9,7.4,2.9
8/15/2024,8.7,4.7,17.9
8/16/2024,22.9,2.5,12.6
8/17/2024,0,0,0
8/18/2024,12.8,3.6,9.5
8/19/2024,31.9,0,14.2
8/20/2024,18.8,25.8,5
8/21/2024,15.3,8.8,4.7
8/22/2024,15.8,10.6,2.4
8/23/2024,14.7,14,4.8
8/24/2024,17.6,12,3.3
8/25/2024,21.1,4.2,6.5
8/26/2024,3.7,9.2,6.7
8/27/2024,200,0,0
