date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
3/17/2024,40.42,0,6,1,0,0,0
3/18/2024,17.94,0,0,0,0,0,0
3/19/2024,0,0,1,0,0,0,0
3/20/2024,3.81,0,2,0,0,0,0
3/21/2024,5.32,0,3,0,0,0,0
3/22/2024,9.23,0,4,0,0,0,0
3/23/2024,16.28,0,5,1,0,0,0
3/24/2024,0,0,6,1,0,0,0
3/25/2024,0,0,0,0,0,0,0
3/26/2024,26.53,0,1,0,0,0,0
3/27/2024,6.07,0,2,0,0,0,0
3/28/2024,0.97,0,3,0,0,0,0
3/29/2024,5.7,0,4,0,0,0,0
3/30/2024,16.2,0,5,1,0,0,0
3/31/2024,7.22,0,6,1,0,0,0
4/1/2024,15.99,0,0,0,0,0,0
4/2/2024,6.24,0,1,0,0,0,0
4/3/2024,11.44,0,2,0,0,0,0
4/4/2024,0,0,3,0,0,0,0
4/5/2024,0,0,4,0,0,0,0
4/6/2024,0.85,0,5,1,0,0,0
4/7/2024,6.86,0,6,1,0,0,0
4/8/2024,6.44,0,0,0,0,0,0
4/9/2024,5.09,0,1,0,0,0,0
4/10/2024,0,1,2,0,1,0,0
4/11/2024,0,1,3,0,1,0,0
4/12/2024,0,1,4,0,1,0,0
4/13/2024,0,1,5,1,1,0,0
4/14/2024,0,1,6,1,1,0,0
4/15/2024,11.3,0,0,0,0,0,0
4/16/2024,2.89,0,1,0,0,0,0
4/17/2024,2.28,0,2,0,0,0,0
4/18/2024,14.51,0,3,0,0,0,0
4/19/2024,3.65,0,4,0,0,0,0
4/20/2024,0,0,5,1,0,0,0
4/21/2024,3.96,0,6,1,0,0,0
4/22/2024,4.43,0,0,0,0,0,0
4/23/2024,11.77,0,1,0,0,0,0
4/24/2024,0,0,2,0,0,0,0
4/25/2024,23.51,0,3,0,0,0,0
4/26/2024,1.79,0,4,0,0,0,0
4/27/2024,5.55,0,5,1,0,0,0
4/28/2024,1.8,0,6,1,0,0,0
4/29/2024,18.59,0,0,0,0,0,0
4/30/2024,15.21,0,1,0,0,0,0
5/1/2024,3.2,0,2,0,0,0,0
5/2/2024,6.78,0,3,0,0,0,0
5/3/2024,4.27,0,4,0,0,0,0
5/4/2024,8.61,0,5,1,0,0,0
5/5/2024,0,0,6,1,0,0,0
5/6/2024,0.89,0,0,0,0,0,0
5/7/2024,7.56,0,1,0,0,0,0
5/8/2024,11.31,0,2,0,0,0,0
5/9/2024,17.31,0,3,0,0,0,0
5/10/2024,1.86,0,4,0,0,0,0
5/11/2024,8.53,0,5,1,0,0,0
5/12/2024,19.88,0,6,1,0,0,0
5/13/2024,1.01,0,0,0,0,0,0
5/14/2024,3.99,0,1,0,0,0,0
5/15/2024,14.27,0,2,0,0,0,0
5/16/2024,0,0,3,0,0,0,0
5/17/2024,5.95,0,4,0,0,0,0
5/18/2024,6.92,0,5,1,0,0,0
5/19/2024,6.88,0,6,1,0,0,0
5/20/2024,1.8,0,0,0,0,0,0
5/21/2024,3.52,0,1,0,0,0,0
5/22/2024,0,0,2,0,0,0,0
5/23/2024,8.81,0,3,0,0,0,0
