date,sales,is_closed,dow,is_weekend,is_event,pre_event_peak,restock_flag
2024-05-17,21.12,0,4,0,0,0,0
2024-05-18,22.32,0,5,1,0,0,0
2024-05-19,22.48,0,6,1,0,0,0
2024-05-20,27.12,0,0,0,0,0,0
2024-05-21,24.48,0,1,0,0,0,0
2024-05-22,21.92,0,2,0,0,0,0
2024-05-23,26.8,0,3,0,0,0,0
2024-05-24,28.0,0,4,0,0,0,0
2024-05-25,21.6,0,5,1,0,0,0
2024-05-26,23.2,0,6,1,0,0,0
2024-05-27,22.24,0,0,0,0,0,0
2024-05-28,21.36,0,1,0,0,0,0
2024-05-29,22.56,0,2,0,0,0,0
2024-05-30,25.12,0,3,0,0,0,0
2024-05-31,27.92,0,4,0,0,0,0
2024-06-01,21.2,0,5,1,0,0,0
2024-06-02,21.28,0,6,1,0,0,0
2024-06-03,25.2,0,0,0,0,0,0
2024-06-04,24.8,0,1,0,0,0,0
2024-06-05,85.79,0,2,0,0,1,1
2024-06-06,27.04,0,3,0,0,0,0
2024-06-07,22.56,0,4,0,0,0,0
2024-06-08,22.08,0,5,1,0,0,0
2024-06-09,27.2,0,6,1,0,0,0
2024-06-10,28.4,0,0,0,0,0,0
2024-06-11,22.48,0,1,0,0,0,0
2024-06-12,21.6,0,2,0,0,0,0
2024-06-13,23.12,0,3,0,0,0,0
2024-06-14,26.08,0,4,0,0,0,0
2024-06-15,22.96,0,5,1,0,0,0
2024-06-16,27.52,0,6,1,0,0,0
2024-06-17,0.0,1,0,0,1,0,0
2024-06-18,24.88,0,1,0,0,0,0
2024-06-19,25.52,0,2,0,0,0,0
2024-06-20,27.12,0,3,0,0,0,0
2024-06-21,28.16,0,4,0,0,0,0
2024-06-22,22.0,0,5,1,0,0,0
2024-06-23,21.84,0,6,1,0,0,0
2024-06-24,27.04,0,0,0,0,0,0
2024-06-25,26.4,0,1,0,0,0,0
2024-06-26,25.84,0,2,0,0,0,0
2024-06-27,26.4,0,3,0,0,0,0
2024-06-28,27.12,0,4,0,0,0,0
2024-06-29,23.04,0,5,1,0,0,0
2024-06-30,23.2,0,6,1,0,0,0
2024-07-01,27.92,0,0,0,0,0,0
2024-07-02,28.72,0,1,0,0,0,0
2024-07-03,27.28,0,2,0,0,0,0
2024-07-04,22.64,0,3,0,0,0,0
2024-07-05,21.44,0,4,0,0,0,0
2024-07-06,20.72,0,5,1,0,0,0
2024-07-07,23.04,0,6,1,0,0,0
2024-07-08,22.48,0,0,0,0,0,0
2024-07-09,23.52,0,1,0,0,0,0
2024-07-10,23.76,0,2,0,0,0,0
2024-07-11,23.84,0,3,0,0,0,0
2024-07-12,24.16,0,4,0,0,0,0
2024-07-13,23.76,0,5,1,0,0,0
2024-07-14,24.08,0,6,1,0,0,0
2024-07-15,0.0,1,0,0,0,0,0
2024-07-16,0.0,1,1,0,0,0,0
2024-07-17,25.84,0,2,0,0,0,0
2024-07-18,24.32,0,3,0,0,0,0
2024-07-19,24.32,0,4,0,0,0,0
2024-07-20,22.24,0,5,1,0,0,0
2024-07-21,21.52,0,6,1,0,0,0
2024-07-22,25.04,0,0,0,0,0,0
2024-07-23,24.08,0,1,0,0,0,0
2024-07-24,25.36,0,2,0,0,0,0
2024-07-25,27.44,0,3,0,0,0,0
2024-07-26,24.08,0,4,0,0,0,0
