date,Ayam Potong (A.P),Ayam Kampung (A.K),Ayam Tua (A.T)
2024-06-04,46.23,13.67,4.56
2024-06-05,85.79,0.0,0.0
2024-06-06,35.03,10.29,8.8
2024-06-07,48.230000000000004,0.0,2.5
2024-06-08,40.28,23.59,4.42
2024-06-09,17.439999999999998,10.29,2.85
2024-06-10,16.48,7.07,2.91
2024-06-11,42.49,13.969999999999999,0.0
2024-06-12,32.120000000000005,16.53,26.89
2024-06-13,14.4,10.91,2.58
2024-06-14,50.29,5.22,3.83
2024-06-15,12.799999999999999,23.74,8.85
2024-06-16,35.65,0.0,16.28
2024-06-17,0.0,0.0,0.0
2024-06-18,14.809999999999999,8.64,7.84
2024-06-19,49.93,22.46,0.0
2024-06-20,33.61,14.94,0.0
2024-06-21,31.310000000000002,9.26,6.22
2024-06-22,36.4,13.47,8.21
2024-06-23,20.740000000000002,14.51,9.54
2024-06-24,36.06,11.43,8.47
2024-06-25,8.809999999999999,24.27,5.56
2024-06-26,37.53,16.48,0.0
2024-06-27,53.59,17.400000000000002,2.52
2024-06-28,45.370000000000005,14.0,0.0
2024-06-29,12.71,3.3499999999999996,9.71
2024-06-30,41.15,8.97,19.39
2024-07-01,23.9,11.0,2.6
2024-07-02,14.0,8.5,9.7
2024-07-03,16.6,21.5,6.8
2024-07-04,18.0,5.7,4.2
2024-07-05,22.0,0.0,3.3
2024-07-06,15.9,2.1,4.8
2024-07-07,28.400000000000002,6.9,2.0
2024-07-08,17.2,10.6,12.8
2024-07-09,25.8,3.5,1.8
2024-07-10,13.2,5.8999999999999995,11.799999999999999
2024-07-11,13.899999999999999,6.800000000000001,0.0
2024-07-12,5.5,11.6,6.6
2024-07-13,17.2,3.0999999999999996,12.2
2024-07-14,18.8,14.4,0.0
2024-07-15,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0
2024-07-17,18.4,16.6,9.8
2024-07-18,19.1,15.0,4.8
2024-07-19,22.5,2.7,8.3
2024-07-20,5.4,7.8,4.300000000000001
2024-07-21,17.1,6.7,0.0
2024-07-22,36.3,6.7,9.6
2024-07-23,17.5,3.9000000000000004,2.4
2024-07-24,17.5,9.2,9.2
2024-07-25,19.8,6.6,4.8
2024-07-26,24.900000000000002,0.0,6.8999999999999995
2024-07-27,33.6,3.6,0.0
2024-07-28,14.0,5.3,0.8
2024-07-29,20.3,9.7,2.1
2024-07-30,25.8,4.7,0.0
2024-07-31,26.7,6.0,3.7
2024-08-01,6.3,15.8,7.300000000000001
2024-08-02,20.3,18.1,0.0
2024-08-03,19.6,4.4,4.0
2024-08-04,14.399999999999999,13.2,4.1
2024-08-05,20.9,8.200000000000001,6.9
2024-08-06,23.8,0.0,5.7
2024-08-07,26.099999999999998,4.8,4.8
2024-08-08,10.7,8.899999999999999,7.300000000000001
2024-08-09,27.0,0.0,8.7
2024-08-10,22.0,19.5,0.0
2024-08-11,20.3,8.0,0.0
2024-08-12,7.6,11.6,0.5
2024-08-13,9.600000000000001,9.3,6.0
2024-08-14,21.9,7.4,2.9
2024-08-15,8.7,4.699999999999999,17.9
2024-08-16,22.9,2.5,12.600000000000001
2024-08-17,0.0,0.0,0.0
2024-08-18,12.8,3.6,9.5
2024-08-19,31.9,0.0,14.2
2024-08-20,18.8,25.8,5.0
2024-08-21,15.299999999999999,8.8,4.7
2024-08-22,15.8,10.6,2.4
2024-08-23,14.7,14.0,4.8
2024-08-24,17.6,12.0,3.3
2024-08-25,21.1,4.2,6.5
2024-08-26,3.7,9.2,6.7
2024-08-27,200.0,0.0,0.0
2024-08-28,15.1,9.3,4.9
2024-08-29,13.0,9.0,7.6
2024-08-30,31.4,0.0,0.5
2024-08-31,17.7,7.9,7.8999999999999995
2024-09-01,16.9,1.2,1.6
2024-09-02,18.4,3.5,6.7
2024-09-03,0.0,0.0,0.0
2024-09-04,0.0,0.0,0.0
2024-09-05,0.0,0.0,0.0
2024-09-06,17.6,4.7,8.0
2024-09-07,19.900000000000002,5.5,2.8
2024-09-08,33.5,17.7,0.0
2024-09-09,8.1,21.9,5.9
2024-09-10,18.3,2.5,0.0
2024-09-11,9.5,0.0,2.5
2024-09-12,25.3,5.6,2.5
2024-09-13,30.0,6.5,9.0
2024-09-14,32.0,7.4,0.0
2024-09-15,27.5,1.2,0.0
2024-09-16,15.5,6.6,0.0
2024-09-17,18.8,5.4,6.8
2024-09-18,18.0,7.5,11.6
2024-09-19,17.1,10.799999999999999,0.0
2024-09-20,8.7,2.7,10.9
2024-09-21,11.3,2.6,10.9
2024-09-22,29.700000000000003,11.0,0.0
2024-09-23,25.7,6.3,5.0
2024-09-24,14.9,5.5,2.8
2024-09-25,11.8,12.9,4.7
2024-09-26,15.8,7.9,9.1
2024-09-27,23.3,11.2,0.0
2024-09-28,34.7,6.3,0.0
2024-09-29,15.9,2.1,6.8
2024-09-30,33.5,5.1,7.1
2024-10-01,16.0,15.5,1.4
2024-10-02,16.1,8.700000000000001,3.7
2024-10-03,18.0,9.3,0.0
2024-10-04,13.7,8.2,2.9
2024-10-05,10.8,11.1,9.4
2024-10-06,26.7,7.0,7.5
2024-10-07,9.200000000000001,3.9000000000000004,5.6
2024-10-08,17.2,7.6,0.0
2024-10-09,27.200000000000003,17.9,0.0
2024-10-10,30.8,9.5,0.7
2024-10-11,9.7,12.3,3.5
2024-10-12,8.2,11.5,3.2
2024-10-13,15.0,19.6,4.6
2024-10-14,20.3,10.8,0.0
2024-10-15,16.7,6.8,4.1
2024-10-16,10.4,20.5,1.2
2024-10-17,9.7,5.7,5.699999999999999
2024-10-18,15.7,13.0,7.7
2024-10-19,12.0,11.4,0.0
2024-10-20,21.9,15.899999999999999,3.7
2024-10-21,13.5,5.6000000000000005,4.199999999999999
2024-10-22,13.2,7.6,10.4
2024-10-23,11.0,3.2,0.0
2024-10-24,20.8,2.1,8.4
2024-10-25,20.1,9.6,3.0
2024-10-26,15.6,12.8,2.3
2024-10-27,13.0,17.7,2.8
2024-10-28,11.3,12.6,12.8
2024-10-29,150.0,20.0,10.0
2024-10-30,19.7,4.7,6.6
2024-10-31,20.7,1.1,5.8
2024-11-01,22.5,7.0,6.2
2024-11-02,26.3,6.9,2.7
2024-11-03,33.1,1.8,5.5
2024-11-04,17.8,11.3,0.0
2024-11-05,18.5,10.5,1.5
2024-11-06,24.8,4.300000000000001,5.6
2024-11-07,25.6,11.2,8.600000000000001
2024-11-08,19.2,3.3,9.3
2024-11-09,10.3,7.0,0.6
2024-11-10,16.3,7.0,7.6
2024-11-11,9.7,2.4,5.0
2024-11-12,12.9,12.3,0.5
2024-11-13,29.2,3.6,3.5
2024-11-14,19.4,4.699999999999999,10.5
2024-11-15,23.6,4.7,0.0
2024-11-16,14.899999999999999,16.1,6.7
2024-11-17,29.7,8.1,3.9
2024-11-18,31.0,0.0,3.6
2024-11-19,34.699999999999996,8.399999999999999,1.4
2024-11-20,26.2,7.300000000000001,2.5
2024-11-21,8.3,21.6,0.0
2024-11-22,0.0,0.0,0.0
2024-11-23,19.6,11.9,6.199999999999999
2024-11-24,10.7,13.8,1.6
2024-11-25,15.2,7.2,8.9
2024-11-26,18.7,15.1,3.1
2024-11-27,27.4,12.3,9.6
2024-11-28,8.3,12.3,3.1
2024-11-29,23.4,9.0,9.9
2024-11-30,15.399999999999999,0.8,6.4
2024-12-01,23.9,11.0,2.6
2024-12-02,14.0,8.5,9.7
2024-12-03,18.900000000000002,10.5,4.0
2024-12-04,17.8,11.8,0.0
2024-12-05,20.9,2.3,3.7
2024-12-06,18.5,9.6,4.800000000000001
2024-12-07,16.2,13.8,2.3
2024-12-08,6.0,5.4,12.3
2024-12-09,18.7,3.7,4.0
2024-12-10,20.0,4.4,6.7
2024-12-11,11.3,12.8,13.899999999999999
2024-12-12,18.5,3.0999999999999996,8.5
2024-12-13,16.2,15.0,7.1
2024-12-14,23.5,2.1,3.0
2024-12-15,19.8,0.6,9.9
2024-12-16,25.2,0.0,3.0
2024-12-17,18.4,7.9,9.899999999999999
2024-12-18,25.9,11.9,8.8
2024-12-19,28.0,3.1,2.2
2024-12-20,26.2,11.5,3.1999999999999997
2024-12-21,27.7,10.4,0.0
2024-12-22,24.9,13.2,6.9
2024-12-23,24.3,6.5,7.1
2024-12-24,38.0,23.55,4.9
2024-12-25,24.8,4.5,8.600000000000001
2024-12-26,21.1,8.1,2.0
2024-12-27,14.7,19.1,8.7
2024-12-28,20.4,14.0,10.0
2024-12-29,21.8,17.05,12.7
2024-12-30,25.45,12.7,12.7
2024-12-31,24.95,31.55,0.0
