category,mae,rmse,mape,mean_actual,mean_predicted,train_size,test_size,accuracy
Ayam Potong,6.589598640283858,8.734454853576239,31.759459409125608,20.20506756756757,16.45496566222089,292,74,KURANG
Ayam Kampung,4.734871302053825,5.852283347941246,107.86583186348896,9.076942567567567,8.736382567428098,292,74,KURANG
Ayam Tua,3.2351828457466083,3.952834095217556,70.48608610856999,5.367567567567567,4.226491850133363,292,74,KURANG
